SPI1,SPI3,SPI6,SPI12
-0.227063267,0.199649355,0.651827929,0.262032352
0.131217629,-0.551063948,0.644880824,0.490665204
0.176685935,-0.146756224,0.238624054,0.365625788
1.603365633,0.822890157,0.596886226,0.906009896
0.583589411,1.154850282,0.104702313,1.010262869
-1.016147953,1.496856472,0.481704906,0.992122689
-0.438669333,-0.103159412,0.713719511,0.945090168
-0.606629679,-0.939325441,0.700032789,0.816419746
0.440693678,-0.101243054,0.863198571,0.486337379
0.308343203,0.149052798,0.073509493,0.475906914
0.701792491,0.689428452,0.356431524,0.236237038
-0.736808883,0.035010619,-0.081890505,0.218032264
0.705298415,0.275426819,0.222584796,0.51551142
-0.537106625,-0.295141651,0.128580636,0.377463194
-1.279967353,-0.419123927,-0.287794407,0.071457298
-2.713773355,-1.945924826,-0.790555597,-0.731987776
-0.091634967,-2.269882766,-1.296759237,-0.811038043
-0.319710968,-2.132284185,-1.056615028,-0.787663416
-0.127910667,-0.435897135,-1.871174449,-0.763791019
-0.897246684,-0.930833061,-2.475448393,-0.776422502
-0.068327072,-0.585245718,-1.696760135,-0.81948621
-0.154294639,-0.543236088,-0.687330148,-0.98238142
-0.118537913,-0.380466431,-0.691730286,-1.408167499
1.176474616,0.465706241,0.127038239,-0.622829476
0.807251635,0.850100023,0.409750161,-0.500665823
-0.835228977,0.705520245,0.281406024,-0.642660152
-0.928289588,-0.351781352,0.08394025,-0.65884946
0.883978477,-0.565907479,0.406564525,-0.015815787
0.145818567,-0.073418226,0.54210507,0.006874632
0.962386701,0.86539361,0.024181226,0.058337096
-0.38479497,0.073911823,-0.523981372,0.044428611
0.097509943,0.079324925,-0.101110635,0.166464044
-0.598440728,-0.571677869,0.08181752,0.068962697
-1.251524902,-1.237486077,-1.194793229,-0.182743634
-0.009442333,-1.162572025,-1.086625619,-0.168137784
-1.640340781,-1.590188832,-1.740829311,-1.226957562
-0.193058548,-0.867276097,-1.449014876,-1.502040782
0.623723861,-0.596252962,-1.228942714,-1.171315235
1.411384058,0.803552579,-0.516416915,-0.538673221
-0.56256856,0.834872641,-0.216406349,-0.832250928
-0.0630249,0.658919763,-0.225447963,-0.853506086
-0.295947278,-0.713246445,0.434095338,-0.905735973
-0.694446921,-0.672704033,0.62394114,-0.915944774
0.331120201,-0.081654943,0.506276466,-0.85019792
0.809584495,0.566336469,-0.001732905,-0.437102466
0.234988284,0.566689043,0.361946244,-0.047794101
-0.862275389,-0.100518959,-0.16923173,-0.310130891
-0.786077591,-0.896388993,-0.564823516,-0.148660607
-0.598572915,-1.187676205,-0.662738373,-0.230655784
-0.824984289,-1.239444462,-1.037890642,-0.713124973
-1.007903598,-1.465161984,-1.623877857,-1.635448887
0.427331673,-0.867475114,-1.602507748,-1.240324122
-0.566313524,-0.635833138,-1.480353667,-1.286173585
0.992821872,0.225705799,-1.14148313,-1.21658255
-0.226374664,-0.351806669,-0.900000946,-1.181196295
1.739859708,1.550382245,0.211472674,-0.837037733
1.566555803,1.910010649,1.650265864,-0.509187994
0.636746145,1.739316562,1.617672666,-0.367817519
0.738942498,1.470397746,1.848017941,0.125136461
