SPI1,SPI3,SPI6,SPI12
0.744455016,0.930039801,0.603675473,0.310799492
0.042820499,0.691016325,0.379835651,0.481538849
0.130404607,0.330968737,0.468493486,0.527776005
0.123700836,-0.045725813,0.609511028,0.243569362
-1.226244406,-0.357884384,0.315251188,0.093598804
-0.709131887,-0.93856375,-0.11621904,0.115672361
-0.326051686,-1.614610119,-0.578915455,0.099311613
0.014909978,-0.909286545,-0.628108326,-0.004529358
-0.516215151,-0.552953443,-1.195676709,-0.047835806
1.781538456,1.102465116,0.518095643,0.673831043
-0.488271167,0.698641036,0.441540629,0.410801976
0.240337276,0.92190792,0.543022704,0.191309022
-0.231820148,-0.407977589,0.319734191,-0.181670636
0.556816006,0.140600249,0.441967797,0.010226858
0.605390128,0.321186491,0.720787909,0.175598484
0.816700439,0.827409498,0.21937849,0.345963135
0.872285729,0.921698179,0.578244037,0.619306751
0.044134442,0.875494953,0.578982333,0.659056927
0.60039279,0.653704738,0.898621944,0.686287155
1.04110484,0.619020574,0.96452369,0.768555711
-1.067786586,-0.246465594,0.430499374,0.715146308
-0.387845384,-0.589148245,-0.308100526,0.003667231
1.192267461,0.109536476,0.221748455,0.517129302
0.489923875,0.645062943,0.388711972,0.601144001
-1.434133845,0.273231439,-0.203615508,0.399466143
0.144179235,-0.312487915,-0.275332675,0.254064355
-0.794982712,-1.054153037,-0.270273615,-0.103712039
-1.816127423,-1.077137655,-0.388903007,-0.523681459
-1.817113272,-2.015340444,-1.217444146,-0.881413321
1.707491978,-0.707115794,-1.189111252,-0.563996241
-0.349044978,0.241835462,-0.848738634,-0.598624301
-0.258379982,1.222917905,-1.085168747,-0.726429983
0.318066433,0.038387067,-0.59807216,-0.492168388
-0.078332769,-0.08101366,-0.102041344,-0.442023609
0.103452315,-0.043880275,0.283716895,-0.824174623
0.474424023,0.074281808,-0.007527927,-0.894635348
1.565261619,1.00449461,0.749317278,0.047092576
1.309604423,1.483253489,1.111064174,0.489447727
-1.83190764,1.010461858,0.701887905,0.350658241
-0.083517026,0.072712916,0.724663062,0.542340493
0.883075989,-0.565492849,0.919763718,0.831692109
-0.357442957,0.16519317,0.84244443,0.553672753
0.66142281,0.540720466,0.211946986,0.58608101
-0.213591204,-0.457396567,-0.702545115,0.585420643
0.507071692,0.359808816,0.247388495,0.630632645
0.574271387,0.474182161,0.619073526,0.815040462
0.22392981,0.478603192,0.302645082,0.843907403
0.64248239,0.591028974,0.591399853,0.92255015
-0.645781058,-0.002264777,0.174624357,0.194635991
-0.185065887,-0.148646618,0.088400406,-0.363598893
-0.592823849,-0.868762099,-0.212253904,-0.139889853
1.592463233,0.33587201,0.156763936,0.337406825
0.023113499,0.499720103,0.122903587,0.175452093
-0.565166634,0.965265559,-0.206297722,0.159884149
-0.188661834,-0.504796893,0.06213579,0.124395241
0.595758323,-0.31699883,0.33224415,0.187582252
-0.5536719,-0.321596421,0.467639551,-0.016679607
0.022661273,-0.262431802,-0.68737293,-0.193533889
-1.301356665,-1.08678155,-1.184435928,-0.504870071
-0.630715902,-1.216357277,-1.283053855,-0.964119949
0.170972384,-0.941878838,-1.089082617,-0.862665961
0.27190104,-0.188771202,-0.88936825,-0.65236568
-1.62446193,-0.487559208,-1.132954648,-0.785353869
-1.91759489,-1.327305617,-1.436851717,-1.565997724
-0.280720791,-2.012825089,-1.102530407,-1.589931276
-0.667747101,-1.814067238,-1.10910869,-1.564794948
