SPI1,SPI3,SPI6,SPI12
0.094702374,0.046072092,-0.12218985,0.823035188
-2.176426391,0.182699418,-0.037175293,0.757442162
-0.544793971,-0.833420271,-0.657347835,0.535722397
0.358248738,-0.287341367,-0.181838215,0.06444028
-1.065738812,-0.705211188,-0.580270073,-0.275112004
-1.395773572,-1.383780542,-1.676481377,-0.781819027
-0.710643027,-2.14279316,-2.117545092,-1.192393069
1.551747285,0.105332145,-0.424535464,-0.383524488
0.043447484,0.693139025,-0.295540134,-0.704049798
0.006335403,0.936865202,-0.425519718,-0.495547611
-2.497355955,-1.083680793,-0.66071587,-0.998966092
-0.646414661,-1.376157523,-0.304989947,-1.267008039
0.260237752,-1.730266925,-0.050103507,-1.22966037
-0.031940852,-0.544500601,-1.146596366,-1.114028086
-0.307321143,-0.173428509,-1.253217144,-1.061053151
-0.588575947,-0.717011177,-1.824750348,-1.288854511
0.879325658,0.222999333,-0.215015934,-0.630442578
0.198299984,0.300924916,0.162045478,-0.19970647
0.892563234,0.971553136,0.538218098,0.217360841
-1.349612176,-0.202080374,-0.12300657,-0.917178931
-2.96063319,-1.177566854,-0.711437628,-1.401201764
-1.944697532,-3.200193525,-1.17664432,-1.994950298
-0.418101939,-2.713577242,-1.803349109,-1.762415756
0.951470664,-0.623386365,-1.376111436,-1.105005315
-0.644733002,0.01851304,-2.077331799,-1.231520106
-1.193766539,0.29099335,-1.777302934,-1.25970103
-0.997819785,-1.552825643,-1.031571722,-1.288887411
-0.286836592,-0.943511032,-0.508558754,-1.226918711
0.73577042,0.100252684,0.161238302,-1.223437104
-0.794500316,-0.260451994,-0.806716991,-1.550361679
0.374656729,0.044952855,-0.47463581,-1.794066272
-0.028309093,-0.439558995,-0.404990602,-1.528106897
-1.055580702,-0.401362311,-0.574975588,-1.158041019
-2.16806554,-1.543208555,-1.151998449,-1.259077485
-1.617968906,-2.80602624,-2.072061439,-1.719106058
-0.442174344,-2.225796379,-1.74759072,-2.04686349
-2.071213913,-1.974242034,-2.373534954,-2.151227644
-0.693722092,-1.403406253,-2.868734836,-2.071253786
-0.41003345,-1.770920597,-2.532081412,-1.959654754
0.602576883,0.115368995,-1.434967143,-1.70603227
-0.263863194,-0.070615996,-0.932833957,-2.00368751
-0.081435198,-0.10188615,-0.696529019,-1.761512989
1.100924391,0.272324487,0.229117747,-1.513494739
-1.696171217,-0.330388163,-0.42856435,-2.147322959
-1.732445617,-0.874048467,-0.809043028,-2.14840764
-0.319904296,-1.929697248,-1.199652688,-1.816327491
1.067900801,-0.312342708,-0.51694181,-1.063134068
0.009057258,0.356476275,-0.416610278,-0.847103287
-1.044103906,0.411303145,-1.109113396,-0.780294431
0.116532664,-0.536831903,-0.532428031,-0.711588621
1.301199513,0.158700452,0.318916842,-0.466325086
-1.570731678,-0.402437425,0.077995701,-0.895469274
-0.702967167,-0.816278408,-1.155168782,-0.956393382
1.614599707,0.284852066,0.263290658,-0.226434237
-0.157038899,0.650100618,0.34716625,-0.642143136
1.196640178,1.497839523,0.876148452,0.250973015
0.4793947,0.784911132,0.705173948,0.7098059
-0.561154279,0.63957254,0.854037303,0.68716398
0.501779005,0.119122041,1.230920907,0.524073483
-0.937719125,-0.481503109,0.266518003,0.309982612
-0.360756471,-0.34693608,0.265965447,0.369040966
-0.22113597,-1.14927227,-0.402642015,0.339755217
-0.629760637,-0.860598716,-0.722876317,0.109187396
-0.337791411,-0.686286933,-0.7096872,0.282112885
1.847391329,1.14849375,0.440039298,1.089144581
0.777270232,1.466504175,1.136685479,0.781147008
1.442551338,2.288372248,1.892353627,1.234718704
-1.071032507,0.577977253,1.162912186,0.557738219
0.100841914,0.216127012,1.076128039,0.430580363
0.538334106,-0.315419533,1.384577134,0.754369642
0.349035142,0.385143754,0.650103771,0.773650231
1.839777031,1.253082054,1.007314309,1.470593003
0.542323197,1.388442689,0.584576855,1.569180456
0.812137825,1.834489704,1.168424385,1.592114083
0.886273606,0.927600451,1.33967052,1.690163002
-0.725160057,-0.011330839,1.116738915,1.628553495
0.041289239,-0.184216091,1.035902666,0.939408468
0.34934378,-0.200585232,0.134959472,0.819888855
0.961502946,0.602046909,0.477090616,0.662997826
-1.026077347,0.037917918,-0.180454474,0.699780743
0.61020329,0.195360928,-0.070783433,0.814524839
-0.765130013,-0.676197873,-0.155958021,0.507978553
-1.794561826,-0.960292275,-0.643366039,0.029782103
-2.935497523,-2.449856072,-1.283434055,-1.05138765
0.450054148,-2.275458005,-1.752941109,-1.06339239
-0.050961203,-1.484932535,-1.442605023,-1.109876078
-0.061321641,0.088255,-1.935666529,-1.21262977
0.314139722,0.089280475,-1.63419506,-0.977856103
0.557915238,0.405364789,-0.478068131,-0.745133439
0.356287944,0.510453143,0.453649228,-0.733167664
0.215630538,0.483467977,0.413320876,-1.017607962
1.467152,1.092841006,1.12351201,-0.074780139
0.925631574,1.30885697,1.27204665,0.051900606
-2.068422574,0.686343651,0.783066051,-0.181034638
0.148530347,-0.320806792,0.628002537,0.255371811
